event_year,group,mean,ci_lower,ci_upper
-3.0,High numeric guidance,0.5669629884098382,0.34775995133763704,0.7861660254820393
-3.0,No guidance,0.47865027713742403,0.4042185637250723,0.5530819905497757
-2.0,High numeric guidance,0.3693984625293618,0.19984022211421237,0.5389567029445113
-2.0,No guidance,0.4392783340119801,0.3770775074019305,0.5014791606220296
-1.0,High numeric guidance,0.39510196519547613,0.2613923896817658,0.5288115407091865
-1.0,No guidance,0.3086278209327042,0.2650099146387912,0.3522457272266172
0.0,High numeric guidance,0.18501871468895797,0.11267190739242247,0.25736552198549345
0.0,No guidance,0.18784251483115463,0.1608509392199814,0.21483409044232787
1.0,High numeric guidance,0.8429960352990478,0.6089967413253139,1.0769953292727816
1.0,No guidance,0.40536598570222815,0.3523778191522084,0.4583541522522479
2.0,High numeric guidance,2.389532250855253,1.8332117752252335,2.9458527264852723
2.0,No guidance,1.2452948747870183,1.1098238519863168,1.3807658975877197
3.0,High numeric guidance,2.402596890475656,1.7617784595953836,3.043415321355928
3.0,No guidance,1.4172386665864,1.261000827479437,1.573476505693363
